english,spanish,trigger_phrase,subjunctive_verb,infinitive,indicative_form,note
No matter how dark it seems,Por más oscuro que parezca,por más... que,parezca,parecer,parece,"zc stem, same family as conozco"
No matter how hopeless they say it is,Por más desesperante que digan que es,por más... que,digan,decir,dicen,'que es' inside stays indicative
"Whether you've been here all your life or this is your first time, you're invited","Ya sea que hayas estado aquí toda tu vida o que sea tu primera vez, estás invitado",ya sea que,hayas estado,estar,has estado,
...or this is your first time,...o que sea tu primera vez,ya sea que,sea,ser,es,
...preach the good news of Jesus until HE returns,...predicar las buenas nuevas de Jesús hasta que ÉL regrese,hasta que (future),regrese,regresar,regresa,
"Even though death is defeated, one day each of us will still pass on","Aunque la muerte ha sido derrotada, un día cada uno de nosotros partirá",aunque + fact,—,ser,ha sido,CONTRAST: aunque + known fact = indicative
"...so that just as Jesus will present His bride, you as well may present your bride","...para que así como Jesús presentará a Su novia ante Su Padre, tú también presentes a tu novia",para que,presentes,presentar,presentas,
You must help him to be a man of spiritual substance,Debes ayudarlo a que sea un hombre de sustancia espiritual,ayudar a que,sea,ser,es,'ayudarlo a ser' (infinitive) is also correct
...that in honor you should seek to prefer one another,...que en honor busquen preferirse el uno al otro,(llamar a) que,busquen,buscar,buscan,
Determine that your home will be a place where peace and harmony prevail,Decidan que su hogar sea un lugar donde prevalezcan la paz y la armonía,decidir que (goal),sea,ser,es,
...where peace and harmony will prevail,...donde prevalezcan la paz y la armonía,donde (not yet real),prevalezcan,prevalecer,prevalecen,
"I charge you both to laugh, to have fun, to enjoy","Les encargo a los dos que rían, que se diviertan, que disfruten",encargar que,rían,reír,ríen,
...to have fun,...que se diviertan,encargar que,se diviertan,divertirse,se divierten,
...to enjoy every bit of your marriage,...que disfruten cada momento de su matrimonio,encargar que,disfruten,disfrutar,disfrutan,
...for as long as you both shall live,...mientras los dos vivan,mientras (future),vivan,vivir,viven,
Be his strength when he is weak,Sé su fuerza cuando él esté débil,cuando (future),esté,estar,está,
Be his confidence when he feels low,Sé su confianza cuando se sienta desanimado,cuando (future),se sienta,sentirse,se siente,
"Even though you're right sometimes, she can be right sometimes too","Aunque tú tengas razón a veces, ella también puede tener razón",aunque (conceding a possibility),tengas,tener,tienes,aunque + subjunctive = 'even if'; aunque + indicative = 'even though (fact)'
"Even though you're tired and stressed after work, he still needs your attention","Aunque estés cansada y estresada después del trabajo, él todavía necesita tu atención",aunque (possibility),estés,estar,estás,
Marriage will challenge you to be humble,El matrimonio los desafiará a que sean humildes,desafiar a que,sean,ser,son,
Let your love for each other create a passion to stand up for each other,Que su amor mutuo cree una pasión por defenderse el uno al otro,que + wish (let...),cree,crear,crea,"'cree' here is from crear, not creer"
Let your commitment fuel self-sacrifice every single day,Que su compromiso mutuo alimente el sacrificio propio cada día,que + wish (let...),alimente,alimentar,alimenta,
May your marriage bring you closer to each other and to Jesus,Que su matrimonio los acerque más el uno al otro y a Jesús,que + wish (may...),acerque,acercar,acerca,
We ask that You would seal and secure the bonds of their marriage,Te pedimos que selles y asegures los lazos de su matrimonio,pedir que,selles,sellar,sellas,
...and secure,...y asegures,pedir que,asegures,asegurar,aseguras,
"Those whom God has joined together, let no one separate (Mt 19:6)","Lo que Dios ha unido, ningún hombre lo separe",que + wish (let no one...),separe,separar,separa,NBLA/LBLA wording — verify
"I encourage you to pray together, seek God together","Los animo a que oren juntos, a que busquen a Dios juntos",animar a que,oren,orar,oran,
...seek God together,...a que busquen a Dios juntos,animar a que,busquen,buscar,buscan,
"As you grow together in Jesus, the goal isn't a larger house","A medida que crezcan juntos en Jesús, la meta no es una casa más grande",a medida que (future),crezcan,crecer,crecen,
I want to remind you to continue growing in your faith together,Quiero recordarles que sigan creciendo juntos en su fe,recordar que (order),sigan,seguir,siguen,
Use these vows to remind you of the path you've chosen,Usen estos votos para que les recuerden el camino que han elegido,para que,recuerden,recordar,recuerdan,
Bless this ceremony and everything that we do,Bendice esta ceremonia y todo lo que hagamos,todo lo que (indefinite),hagamos,hacer,hacemos,your own opening prayer
Paul challenges Philemon to forgive him for any offense,Pablo desafía a Filemón a que lo perdone por cualquier ofensa,desafiar a que,perdone,perdonar,perdona,you wrote 'perdonara' (past); present main verb → 'perdone'
Paul wants Philemon to forgive Onesimus,Pablo quiere que Filemón perdone a Onésimo,querer que,perdone,perdonar,perdona,
Paul is asking Philemon to see his offender as a fellow child of God,Pablo le está pidiendo a Filemón que vea a su agresor como un hijo de Dios,pedir que,vea,ver,ve,
...so that he might serve me in your place (Phm 13),...para que en tu lugar me sirviera,para que (past),sirviera,servir,sirve,
...so that your goodness would not be by compulsion (Phm 14),...para que tu bondad no fuera como por obligación,para que (past),fuera,ser,es,
...so that you would have him back forever (Phm 15),...para que lo recuperes ahora para siempre,para que,recuperes,recuperar,recuperas,
...so that we might live to righteousness (1 Pe 2:24),"...a fin de que nosotros, habiendo muerto para los pecados, vivamos para la justicia",a fin de que,vivamos,vivir,vivimos,NBLA — verify
There must be a restoration of the relationship,DEBE haber una restauración de la relación,deber + infinitive,—,haber,hay,CONTRAST: 'debe haber' is not a trigger; 'es necesario que haya' would be
"If Christ chose to forgive us, what right do we have?","Si Cristo eligió perdonarnos, ¿qué derecho tenemos?",si + real past,—,elegir,eligió,CONTRAST: si + real condition = indicative
"God willing, we live long and complicated lives","Si Dios quiere, vivimos vidas largas y complicadas",si Dios quiere (fixed),—,querer,quiere,CONTRAST: 'si Dios quiere' is INDICATIVE. 'Dios mediante' also works
