noun,gender,article_singular,article_plural,example_phrase_from_my_sermons,exception_class,note
persona,f,la persona,las personas,Este es el fundamento de cada persona que ha vivido. / Las personas nos importan más.,fixed feminine,'una persona' even for a man: 'El pastor Norman es una persona sabia'
víctima,f,la víctima,las víctimas,"Todos causaremos drama, y todos seremos víctimas del drama.",fixed feminine,'él es la víctima'
gente,f (singular),la gente,—,"La gente es agradable, bien puesta, sana y feliz.","fixed feminine, singular","'la gente ES', never 'la gente son'"
testigo,m/f,el testigo / la testigo,los testigos / las testigos,En presencia de estos testigos. / Por boca de dos o tres testigos (Mt 18:16).,common gender (el/la),
líder,m/f,el líder / la líder,los líderes / las líderes,Los líderes de los hombres y de las mujeres. / La líder del grupo de mujeres.,common gender (el/la),'lideresa' exists but is rare in Mexico
joven,m/f,el joven / la joven,los jóvenes / las jóvenes,Nuestro grupo de jóvenes. / Dos jóvenes desamparados sin dinero pidiendo ayuda.,common gender (el/la),plural gains a written accent: jóvenes
miembro,m/f,el miembro / la miembro,los miembros / las miembros,Yo era miembro del grupo de jóvenes; ahora soy el pastor del grupo de jóvenes. / Los miembros del cuerpo (1 Co 12).,common gender (el/la),'miembra' is not standard
pastor,m/f,el pastor / la pastora,los pastores / las pastoras,Confío en la sabiduría del pastor Norman. / La sabiduría que tiene la pastora Sandra.,gendered pair,'pastora' is standard evangelical usage in Mexico
conspiracionista,m/f,el conspiracionista / la conspiracionista,los conspiracionistas,No soy un gran conspiracionista.,common gender (-ista),"all -ista nouns: el/la evangelista, el/la bautista"
creyente,m/f,el creyente / la creyente,los creyentes,Un cuerpo de creyentes. / El delincuente es un compañero creyente. (your own line),common gender (-nte),
adolescente,m/f,el adolescente / la adolescente,los adolescentes,"Trabajando con adolescentes los últimos quince años, he visto lo que el algoritmo les hace.",common gender (-nte),'teenagers' → adolescentes / jóvenes
